file_id|series_id|slug_title|title
zmisc|GYWE4X28Y|07-ghost|07 Ghost
zmisc|GYE5X75GR|11eyes|11eyes
zmisc|G8DHV7854|16bit-sensation-another-layer|16bit Sensation: Another Layer
zmisc|GR4949ZQ6|18if|18if
zmisc|G6P545WQ6|227-nanabun-no-nijyuuni|22/7 (nanabun no nijyuuni)
zmisc|G1XHJVEZ1|243-seiin-high-school-boys-volleyball-team|2.43: Seiin High School Boys Volleyball Team
zmisc|G4PH0WJGQ|7th-time-loop-the-villainess-enjoys-a-carefree-life-married-to-her-worst-enemy|7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!
zmisc|GVDHX8DM5|86-eighty-six|86 EIGHTY-SIX
zmisc|GRE5K3NQ6|91-days|91 Days
a|GRX0JQ4K6|a-bridge-to-the-starry-skies---hoshizora-e-kakaru-hashi|A Bridge to the Starry Skies - Hoshizora e Kakaru Hashi
a|GYNQZV50Y|a-centaurs-life|A Centaur's Life
a|GRVNZK5PY|a-certain-magical-index|A Certain Magical Index
a|GY5PDD4PY|a-certain-scientific-accelerator|A Certain Scientific Accelerator
a|G649J4XPY|a-certain-scientific-railgun|A Certain Scientific Railgun
a|GP5HJ84QX|a-condition-called-love|A Condition Called Love
a|GXJHM39MP|a-couple-of-cuckoos|A Couple of Cuckoos
a|GY2P5KQEY|a-dark-rabbit-has-seven-lives|A Dark Rabbit has Seven Lives
a|G679XXM0Y|a-destructive-god-sits-next-to-me|A Destructive God Sits Next to Me
a|GXJHM3PZW|a-galaxy-next-door|A Galaxy Next Door
a|GW4HM7W7Q|a-girl--her-guard-dog|A Girl & Her Guard Dog
a|G1XHJV2NJ|a-herbivorous-dragon-of-5000-years-gets-unfairly-villainized|A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized
a|GR49M7GP6|a-lull-in-the-sea-nagi-asu-nagi-no-asukara|A Lull in the Sea (Nagi-Asu: Nagi no Asukara)
a|GYK541EPR|a-place-further-than-the-universe|A Place Further Than the Universe
a|GMEHME70J|a-playthrough-of-a-certain-dudes-vrmmo-life|A Playthrough of a Certain Dude's VRMMO Life
a|GEXH3W207|a-returners-magic-should-be-special|A Returner's Magic Should Be Special
a|GVDHX85VN|a-salad-bowl-of-eccentrics|A Salad Bowl of Eccentrics
a|GEXH3W2V7|a-sign-of-affection|A Sign of Affection
a|GR9P90X16|a-sisters-all-you-need|A Sister's All You Need.
a|GY1XXXPQY|a-talk-on-titan|A Talk on Titan
a|GJ0H7Q8XX|a3|A3!
a|GW4HM74KJ|abciee-working-diary|ABCiee Working Diary
a|G619098KY|absolute-duo|Absolute Duo
a|GR5V95N8R|acca-13-territory-inspection-dept|ACCA: 13-Territory Inspection Dept.
a|GRZJEQ3V6|accel-world|Accel World
a|GYE5K0XVR|ace-attorney|Ace Attorney
a|GYX0MZ58R|ace-of-the-diamond|Ace of the Diamond
a|GYGG9PV7Y|active-raid|Active Raid
a|GW4HM75MZ|actors-songs-connection|Actors: Songs Connection
a|G79H23V84|adachi-and-shimamura|Adachi and Shimamura
a|GRP8ZQP1R|aesthetica-of-a-rogue-hero|Aesthetica of a Rogue Hero
a|GDKHZEP9V|africa-salaryman|Africa Salaryman
a|G5PHNMW59|afro-samurai|Afro Samurai
a|GP5HJ81N9|after-school-dice-club|After School Dice Club
a|GVDHX85GV|after-school-hanako-kun|After-school Hanako-kun
a|G0XHWM5XQ|afterlost|AFTERLOST
a|G6DQNPE1R|ah-my-buddha|Ah My Buddha!!
a|G1XHJVWP0|ah-my-goddess-flights-of-fancy|Ah! My Goddess: Flights of Fancy
a|GNVHKN72N|aharen-san-wa-hakarenai|Aharen-san wa Hakarenai
a|G6NVGNJGY|ahiru-no-sora|Ahiru no Sora
a|GRMGZG27R|aho-girl|AHO-GIRL
a|GYP85K3KY|ai-mai-mi|Ai-Mai-Mi
a|GRP8DZ7GR|ai-mai-mi-mousou-catastrophe|Ai-Mai-Mi Mousou Catastrophe
a|GR2P0GJKR|ai-mai-mi-surgical-friends|Ai-Mai-Mi Surgical Friends
a|GVDHX8JWG|ai-tenchi-muyo|Ai Tenchi Muyo!
a|G9VHN91JV|air-gear|Air Gear
a|G6X0427EY|air-master|Air Master
a|GYNQJQG3Y|aiura|AIURA
a|GRZX45ZVY|akagi|Akagi
a|G6190VXEY|akagi-drama|Akagi (Drama)
a|GYDQ8WZ16|akashic-records-of-bastard-magic-instructor|Akashic Records of Bastard Magic Instructor
a|GDKHZEW97|akebis-sailor-uniform|Akebi's Sailor Uniform
a|GRWEKW7NR|akibas-trip-the-animation|Akiba's Trip The Animation
a|GKEH2G440|akudama-drive|Akudama Drive
a|GY8VJW08Y|alderamin-on-the-sky|Alderamin on the Sky
a|GRP8DNZ1R|aldnoahzero|ALDNOAH.ZERO
a|GYNQ5N80Y|alice--zoroku|Alice & Zoroku
a|GR8VJVX7R|all-out|ALL OUT!!
a|G0XHWM5N2|all-saints-street|All Saints Street
a|G9VHN9QED|am-i-actually-the-strongest|Am I Actually the Strongest?
a|GJ0H7QXE2|amaim-warrior-at-the-borderline|AMAIM Warrior at the Borderline
a|G6J0MD1ER|amazing-stranger|AMAZING STRANGER
a|G24H1NW20|an-archdemons-dilemma-how-to-love-your-elf-bride|An Archdemon's Dilemma: How to Love Your Elf Bride
a|GKEH2GQKX|ancient-girls-frame|Ancient Girl's Frame
a|GRWE8K5MR|and-you-thought-there-is-never-a-girl-online|And you thought there is never a girl online?
a|GYNQXWNWY|ange-vierge|Ange Vierge
a|GY49PW7QR|angel-beats|Angel Beats
a|G24H1NWNJ|angel-cop|Angel Cop
a|G6X03VD2Y|angel-heart|Angel Heart
a|G6VN8D53R|angels-3piece|Angel's 3Piece!
a|GRVDN485R|angels-of-death|Angels of Death
a|G6J0QJ32R|angolmois-record-of-mongol-invasion|Angolmois: Record of Mongol Invasion
a|GRDKVQ53Y|anima-yell|Anima Yell!
a|GR19JEWQ6|anime-academy|Anime Academy
a|GQWH0MXPQ|anime-azurlane-slow-ahead|Anime AzurLane: Slow Ahead!
a|GREX5KEXY|anime-crimes-division|Anime Crimes Division
a|GRE5KZQN6|anime-de-training-ex|Anime De Training! Ex
a|G65VGQJ86|anime-gataris|Anime-Gataris
a|GRZ43X7DY|anime-kapibarasan|Anime KAPIBARASAN
a|GR24X90E6|anime-recap|Anime Recap
a|GR19MD406|anisong-station|Anisong Station
a|GYWE2J9JY|anne-happy|Anne-Happy
a|GR19X2G26|anohana-the-flower-we-saw-that-day|Anohana: The Flower We Saw That Day
a|GR09X52WR|another|Another
a|GRZXDKNVY|anti-magic-academy-the-35th-test-platoon|Anti-Magic Academy: The 35th Test Platoon
a|GY3K9XM9Y|ao-chan-cant-study|Ao-chan Can't Study!
a|G4PH0WX5J|aoashi|Aoashi
a|GY49PZ78R|aoi-sekai-no-chushin-de|Aoi Sekai no Chushin de
a|GYMGPXKVY|aokana-four-rhythm-across-the-blue|AOKANA: Four Rhythm Across the Blue
a|GRZXQJK3Y|aooni-the-blue-monster|Aooni The Blue Monster
a|G5PHNMW9N|appare-ranman|APPARE-RANMAN!
a|GRP8PGDWR|arakawa-under-the-bridge|Arakawa Under the Bridge
a|GRE5M1X06|arata-the-legend|Arata the Legend
a|G69VE9W4Y|are-you-lost|Are You Lost?
a|GR2P9ZQ2R|aria-the-animation|ARIA The ANIMATION
a|GYZXZ5PM6|aria-the-scarlet-ammo|Aria the Scarlet Ammo
a|G4PH0WXD1|arifureta-from-commonplace-to-worlds-strongest|Arifureta: From Commonplace to World's Strongest
a|GG5H5X3VN|arknights|Arknights
a|GZJH3DWPV|armor-shop-for-ladies--gentlemen|Armor Shop for Ladies & Gentlemen
a|GRQWDD29R|arp-backstage-pass|ARP Backstage Pass
a|GR9PXZ3J6|arpeggio-of-blue-steel|Arpeggio of Blue Steel
a|GDKHZEDPM|arte|Arte
a|GG5H5XQMD|as-a-reincarnated-aristocrat-ill-use-my-appraisal-skill-to-rise-in-the-world|As a Reincarnated Aristocrat, I'll Use My Appraisal Skill to Rise in the World
a|GRJ0K0ZDY|as-miss-beelzebub-likes-it|As Miss Beelzebub Likes it.
a|G6793XKZY|ascendance-of-a-bookworm|Ascendance of a Bookworm
a|G6MEG24VR|asobi-asobase---workshop-of-fun--|Asobi Asobase - workshop of fun -
a|GRE59JGX6|assassination-classroom|Assassination Classroom
a|G60X4P8GR|assassins-pride|ASSASSINS PRIDE
a|GEXH3WK20|assault-lily-bouquet|Assault Lily BOUQUET
a|G6NQV5WQ6|astarottes-toy|Astarotte's Toy
a|GRMEJX3VY|asteroid-in-love|Asteroid in Love
a|GMEHMEWZM|astra-lost-in-space|ASTRA LOST IN SPACE
a|G8DHV78D7|astro-note|Astro Note
a|GEXH3W2Z5|atelier-ryza-ever-darkness--the-secret-hideout-the-animation|Atelier Ryza: Ever Darkness & the Secret Hideout The Animation
a|GR751KNZY|attack-on-titan|Attack on Titan
a|GR758GE5Y|attack-on-titan-junior-high|Attack on Titan: Junior High
a|G79H235XP|aware-meisaku-kun|Aware! Meisaku-kun
a|GXJHM3GQ7|ayaka|AYAKA
a|GZJH3D0X5|ayakashi-triangle|Ayakashi Triangle
a|G9VHN9P49|azur-lane|AZUR LANE
b|GRGGPG53R|b-project|B-PROJECT
b|G24H1N3J4|back-arrow|BACK ARROW
b|GXJHM3NEV|backflip|Backflip!!
b|GR49X07J6|baka--test---summon-the-beasts--|Baka & Test - Summon the Beasts -
b|G69PXP1EY|bakemonogatari|Bakemonogatari
b|G6J0KWNDR|bakumatsu|BAKUMATSU
b|G3KHEVQ44|bamboo-blade|Bamboo Blade
b|GY2PW4EMY|bananya|Bananya
b|G0XHWM1NV|bang-dream-its-mygo|BanG Dream! It's MyGO!!!!!
b|G9VHN974E|banished-from-the-heros-party-i-decided-to-live-a-quiet-life-in-the-countryside|Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside
b|G6NQK7Z36|banpresto-world-figure-colosseum|Banpresto World Figure Colosseum
b|GYMGD89VY|barakamon|Barakamon
b|GZJH3D0J2|bartender|Bartender
b|GVDHX85DV|bartender-glass-of-god|BARTENDER Glass of God
b|G65V1GV06|basilisk|Basilisk
b|G6NQ9PX36|basilisk--the-ouka-ninja-scrolls|Basilisk : The Ouka Ninja Scrolls
b|G9VHN9Q2D|bastions|BASTIONS
b|GNVHKNGMQ|battle-athletes-victory-restart|Battle Athletes Victory ReSTART!
b|G8DHV7DG7|battle-game-in-5-seconds|Battle Game in 5 Seconds
b|GYVNDJDD6|battle-girls---time-paradox|Battle Girls - Time Paradox
b|GRVNE09QY|bbkbrnk|BBK/BRNK
b|G8DHV743V|beast-tamer|Beast Tamer
b|G6GG5KQ86|beelzebub|Beelzebub
b|GXJHM3PVQ|bem|BEM
b|GYX04955R|berserk|Berserk
b|G1XHJV05V|berserk-of-gluttony|Berserk of Gluttony
b|G24H1N8XX|berserk-the-golden-age-arc---memorial-edition|Berserk: The Golden Age Arc - Memorial Edition
b|GR8DM280R|between-the-sky-and-sea|Between the Sky and Sea
